record,detector,detector_label,fiducial,correction,coverage_target,fs,sub_sample,failed,n_detected,n_ref,analysable_fraction,fraction_corrected,detect_s_per_min,tp,fp,fn,sensitivity,ppv,f1,lag_ms,ibi_mae,ibi_rmse,ibi_bias,ibi_sd,n_ibi,mean_nn_ref,mean_nn_test,mean_nn_err,mean_nn_abserr,mean_nn_pcterr,sdnn_ref,sdnn_test,sdnn_err,sdnn_abserr,sdnn_pcterr,rmssd_ref,rmssd_test,rmssd_err,rmssd_abserr,rmssd_pcterr,pnn50_ref,pnn50_test,pnn50_err,pnn50_abserr,pnn50_pcterr,sdsd_ref,sdsd_test,sdsd_err,sdsd_abserr,sdsd_pcterr,sd1_ref,sd1_test,sd1_err,sd1_abserr,sd1_pcterr,sd2_ref,sd2_test,sd2_err,sd2_abserr,sd2_pcterr,sd1_sd2_ref,sd1_sd2_test,sd1_sd2_err,sd1_sd2_abserr,sd1_sd2_pcterr,sampen_ref,sampen_test,sampen_err,sampen_abserr,sampen_pcterr,dfa_a1_ref,dfa_a1_test,dfa_a1_err,dfa_a1_abserr,dfa_a1_pcterr,lf_ref,lf_test,lf_err,lf_abserr,lf_pcterr,hf_ref,hf_test,hf_err,hf_abserr,hf_pcterr,lf_hf_ref,lf_hf_test,lf_hf_err,lf_hf_abserr,lf_hf_pcterr
s1_sit,msptdfast,MSPTDfast v2,mid_upslope,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.021741207592875646,612,0,1,0.99836867862969,1.0,0.9991836734693879,314.2833363053641,4.915138760045764,6.958672536648322,0.01755308976177779,6.964351874070565,611,828.437908496732,828.387438523477,-0.0504699732549625,0.0504699732549625,-0.006092185393416432,46.977980713169195,47.81982431715919,0.841843603989993,0.841843603989993,1.7919961463009446,30.45299025358163,32.492268179563794,2.039277925982166,2.039277925982166,6.696478437753162,9.00163666121113,11.80327868852459,2.801642027313461,2.801642027313461,31.123695976154995,30.477600635297417,32.518469778362025,2.040869143064608,2.040869143064608,6.696292032585367,21.550918083514233,22.994030494089596,1.4431124105753632,1.4431124105753632,6.6962920325853705,62.844405268340736,63.59831567804933,0.7539104097085954,0.7539104097085954,1.1996460249555332,0.3429250064742197,0.36155093494128304,0.018625928467063346,0.018625928467063346,5.431487385118297,1.6764542772105453,1.7514783105883347,0.0750240333777894,0.0750240333777894,4.4751613209888434,1.1460653887927263,1.130106628686738,-0.01595876010598829,0.01595876010598829,-1.3924825112116304,570.2327955867494,600.8345753179418,30.601779731192437,30.601779731192437,5.366541519188543,327.28840925752615,330.36001877787953,3.071609520353377,3.071609520353377,0.938502383057656,1.7422945006832276,1.818726665353286,0.07643216467005853,0.07643216467005853,4.386868272848605
s1_sit,msptd,MSPTD,mid_upslope,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.8590007755116702,612,0,1,0.99836867862969,1.0,0.9991836734693879,314.2833363053641,4.9369030667170515,7.000914395016204,0.01755308976177798,7.006628476423112,611,828.437908496732,828.387438523477,-0.0504699732549625,0.0504699732549625,-0.006092185393416432,46.977980713169195,47.82941736258255,0.8514366494133512,0.8514366494133512,1.812416448063019,30.45299025358163,32.54765800061918,2.094667747037551,2.094667747037551,6.878364750375191,9.00163666121113,11.967213114754099,2.965576453542969,2.965576453542969,32.944858420268254,30.477600635297417,32.573905846794794,2.096305211497377,2.096305211497377,6.878183215871515,21.550918083514233,23.03322971400073,1.482311630486496,1.482311630486496,6.878183215871519,62.844405268340736,63.59855862698697,0.754153358646235,0.754153358646235,1.2000326129685828,0.3429250064742197,0.3621659077070179,0.019240901232798202,0.019240901232798202,5.610818945699922,1.6764542772105453,1.751268107873318,0.0748138306627728,0.0748138306627728,4.462622791434291,1.1460653887927263,1.1296446936645057,-0.01642069512822064,0.01642069512822064,-1.4327886775743504,570.2327955867494,600.633418503848,30.400622917098644,30.400622917098644,5.331265257344148,327.28840925752615,330.4948366399759,3.2064273824497604,3.2064273824497604,0.9796947559871545,1.7422945006832276,1.8173761036943135,0.0750816030110859,0.0750816030110859,4.309352005739743
s1_sit,qppg,qppg (slope-sum),mid_upslope,none,1.0,100.0,True,False,589,613,0.9841512286143937,0.01020408163265306,0.0031713367921550667,588,1,25,0.9592169657422512,0.99830220713073,0.978369384359401,314.4970592353347,4.259434930910766,5.719707213127332,-0.18201193795222806,5.72176226100343,578,828.437908496732,833.4060014623873,4.9680929656552735,4.9680929656552735,0.5996940645401274,46.977980713169195,76.32111646446138,29.343135751292188,29.343135751292188,62.46146663997952,30.45299025358163,88.2943333809591,57.84134312737747,57.84134312737747,189.93649768293164,9.00163666121113,11.53184165232358,2.5302049911124502,2.5302049911124502,28.108277264903762,30.477600635297417,88.36888840462856,57.89128776933114,57.89128776933114,189.94699898483725,21.550918083514233,62.48624023683013,40.935322153315894,40.935322153315894,189.94699898483728,62.844405268340736,88.00736002078979,25.162954752449053,25.162954752449053,40.04008733156944,0.3429250064742197,0.7100115288320106,0.3670865223577909,0.3670865223577909,107.04571420206057,1.6764542772105453,1.2977122715497338,-0.3787420056608115,0.3787420056608115,-22.591848212585962,1.1460653887927263,0.8086961872333288,-0.33736920155939754,0.33736920155939754,-29.43716866930121,570.2327955867494,1113.2310485420157,542.9982529552664,542.9982529552664,95.22396066268696,327.28840925752615,986.6554494553927,659.3670401978666,659.3670401978666,201.4636087155305,1.7422945006832276,1.1282875386301159,-0.6140069620531117,0.6140069620531117,-35.24128451374515
s1_sit,terma,TERMA,mid_upslope,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.00039897097103329913,611,1,2,0.9967373572593801,0.9983660130718954,0.9975510204081632,314.29716253855,4.946618855333395,7.379484570821854,0.22394221802909067,7.382159199334437,608,828.437908496732,830.9120752557743,2.474166759042305,2.474166759042305,0.2986544596361943,46.977980713169195,65.2362313617334,18.258250648564207,18.258250648564207,38.865550139420804,30.45299025358163,56.022202486620834,25.569212233039206,25.569212233039206,83.96289500677841,9.00163666121113,12.295081967213115,3.293445306001985,3.293445306001985,36.58718330849477,30.477600635297417,56.065303522301306,25.58770288700389,25.58770288700389,83.95576539371565,21.550918083514233,39.644156309901284,18.09323822638705,18.09323822638705,83.95576539371565,62.844405268340736,83.30589796070463,20.46149269236389,20.46149269236389,32.55897260065539,0.3429250064742197,0.4758865492164963,0.13296154274227662,0.13296154274227662,38.77277545586993,1.6764542772105453,1.4386089968786016,-0.23784528033194374,0.23784528033194374,-14.187400370244205,1.1460653887927263,0.9016018401798712,-0.24446354861285513,0.24446354861285513,-21.330680692693704,570.2327955867494,3015.6568295545303,2445.424033967781,2445.424033967781,428.8466136802121,327.28840925752615,1380.235352582328,1052.9469433248019,1052.9469433248019,321.71837240233367,1.7422945006832276,2.1848859500029745,0.4425914493197469,0.4425914493197469,25.40279207368146
s1_sit,heartpy,HeartPy,mid_upslope,none,1.0,100.0,True,False,611,613,0.9841512286143937,0.001639344262295082,0.030741987041081446,611,0,2,0.9967373572593801,1.0,0.9983660130718954,314.29716253855,4.944686274804373,7.375005532924034,0.21738455049019467,7.377860885320648,609,828.437908496732,828.6541661596856,0.21625766295358062,0.21625766295358062,0.02610426934059521,46.977980713169195,48.08401911070299,1.1060383975337942,1.1060383975337942,2.3543762008138884,30.45299025358163,32.814797610281005,2.3618073566993765,2.3618073566993765,7.7555843844320025,9.00163666121113,11.842105263157894,2.840468601946764,2.840468601946764,31.55502392344496,30.477600635297417,32.84073415172291,2.3631335164254956,2.3631335164254956,7.75367308176041,21.550918083514233,23.221905817827913,1.6709877343136803,1.6709877343136803,7.7536730817604145,62.844405268340736,63.91313540943545,1.0687301410947114,1.0687301410947114,1.7005971120759542,0.3429250064742197,0.36333541875336756,0.02041041227914786,0.02041041227914786,5.951858830301507,1.6764542772105453,1.737909577843667,0.06145530063312177,0.06145530063312177,3.6657904404871293,1.1460653887927263,1.147390479721058,0.0013250909283315515,0.0013250909283315515,0.1156208835280692,570.2327955867494,597.3535507341929,27.12075514744356,27.12075514744356,4.756084770525565,327.28840925752615,335.3816738497402,8.093264592214041,8.093264592214041,2.4728234680152923,1.7422945006832276,1.7811156581018885,0.03882115741866099,0.03882115741866099,2.22816277061298
s1_sit,findpeaks,find_peaks baseline,mid_upslope,none,1.0,100.0,True,False,613,613,0.9841512286143937,0.0,0.0001503507517855614,612,1,1,0.99836867862969,0.99836867862969,0.99836867862969,314.286926765631,4.951601615500913,7.3782913414813445,0.23204956614462666,7.380693653390349,610,828.437908496732,829.5543757864021,1.1164672896701404,1.1164672896701404,0.13476776934267304,46.977980713169195,59.28613388172941,12.308153168560217,12.308153168560217,26.19983443671071,30.45299025358163,58.50645053077456,28.05346027719293,28.05346027719293,92.12054397151857,9.00163666121113,12.274959083469723,3.273322422258593,3.273322422258593,36.36363636363636,30.477600635297417,58.55164276590458,28.074042130607165,28.074042130607165,92.11368856278473,21.550918083514233,41.40226364938339,19.85134556586916,19.85134556586916,92.11368856278474,62.844405268340736,72.907776718205,10.063371449864263,10.063371449864263,16.013154085704922,0.3429250064742197,0.5678717074230202,0.22494670094880048,0.22494670094880048,65.59647056993246,1.6764542772105453,1.5266793222240869,-0.14977495498645843,0.14977495498645843,-8.934031606019653,1.1460653887927263,0.8453283348081863,-0.3007370539845401,0.3007370539845401,-26.24082857098919,570.2327955867494,1313.660138815385,743.4273432286356,743.4273432286356,130.37260378257886,327.28840925752615,1305.220988632765,977.9325793752389,977.9325793752389,298.79841501070536,1.7422945006832276,1.0064656868500559,-0.7358288138331717,0.7358288138331717,-42.23332011577963
s1_sit,msptdfast,MSPTDfast v2,mid_upslope,median_mad,1.0,100.0,True,False,612,613,0.9841512286143937,0.006546644844517185,0.025267476557530182,612,0,1,0.99836867862969,1.0,0.9991836734693879,314.2833363053641,4.915138760045764,6.958672536648322,0.01755308976177779,6.964351874070565,611,828.437908496732,828.0659795842229,-0.3719289125091336,0.3719289125091336,-0.044895206833790224,46.977980713169195,47.709090232155575,0.7311095189863792,0.7311095189863792,1.5562812787766962,30.45299025358163,32.40605188877091,1.9530616351892824,1.9530616351892824,6.413365711958548,9.00163666121113,11.55115511551155,2.5495184543004203,2.5495184543004203,28.322832283228305,30.477600635297417,32.432351091654375,1.9547504563569582,1.9547504563569582,6.4137281662949475,21.550918083514233,22.93313538673174,1.3822173032175051,1.3822173032175051,6.413728166294954,62.844405268340736,63.45380904952639,0.6094037811856552,0.6094037811856552,0.9697025193946037,0.3429250064742197,0.3614146373597868,0.0184896308855671,0.0184896308855671,5.391741790914599,1.6764542772105453,1.7466143392359568,0.07016006202541147,0.07016006202541147,4.1850268736318235,1.1460653887927263,1.0928287706608715,-0.053236618131854874,0.053236618131854874,-4.6451641112672215,570.2327955867494,590.3071859013926,20.07439031464321,20.07439031464321,3.5203850900906835,327.28840925752615,327.5519870781804,0.2635778206542341,0.2635778206542341,0.08053380846947086,1.7422945006832276,1.802178613437926,0.059884112754698515,0.059884112754698515,3.4370832675655816
s1_sit,msptd,MSPTD,mid_upslope,median_mad,1.0,100.0,True,False,612,613,0.9841512286143937,0.006546644844517185,0.8762964027304038,612,0,1,0.99836867862969,1.0,0.9991836734693879,314.2833363053641,4.9369030667170515,7.000914395016204,0.01755308976177798,7.006628476423112,611,828.437908496732,828.0659795842229,-0.3719289125091336,0.3719289125091336,-0.044895206833790224,46.977980713169195,47.718768999748875,0.7407882865796793,0.7407882865796793,1.5768840536222035,30.45299025358163,32.46115961907049,2.0081693654888646,2.0081693654888646,6.594325709123689,9.00163666121113,11.716171617161717,2.7145349559505867,2.7145349559505867,30.15601560156015,30.477600635297417,32.4875051473533,2.0099045120558863,2.0099045120558863,6.594694038113123,21.550918083514233,22.97213519352639,1.421217110012158,1.421217110012158,6.594694038113132,62.844405268340736,63.45425781106524,0.6098525427245036,0.6098525427245036,0.9704166029107613,0.3429250064742197,0.3620266942830821,0.0191016878088624,0.0191016878088624,5.57022306575313,1.6764542772105453,1.743689045982972,0.06723476877242662,0.06723476877242662,4.0105339994299545,1.1460653887927263,1.092612740723423,-0.05345264806930339,0.05345264806930339,-4.664013815617519,570.2327955867494,590.1085252668986,19.87572968014922,19.87572968014922,3.4855465757099777,327.28840925752615,327.7011982068745,0.41278894934833943,0.41278894934833943,0.1261239132436057,1.7422945006832276,1.800751808342089,0.05845730765886148,0.05845730765886148,3.3551909643253706
s1_sit,qppg,qppg (slope-sum),mid_upslope,median_mad,1.0,100.0,True,False,589,613,0.9841512286143937,0.02040816326530612,0.003171868234428069,588,1,25,0.9592169657422512,0.99830220713073,0.978369384359401,314.4970592353347,4.259434930910766,5.719707213127332,-0.18201193795222806,5.72176226100343,578,828.437908496732,828.8988315203005,0.4609230235685118,0.4609230235685118,0.055637606493031455,46.977980713169195,48.21547653109378,1.2374958179245823,1.2374958179245823,2.6342039379689193,30.45299025358163,32.85094008173711,2.397949828155479,2.397949828155479,7.874267217070586,9.00163666121113,10.608695652173914,1.6070589909627842,1.6070589909627842,17.852964426877474,30.477600635297417,32.87535015903828,2.3977495237408597,2.3977495237408597,7.867251600389838,21.550918083514233,23.246383031338212,1.6954649478239787,1.6954649478239787,7.8672516003898485,62.844405268340736,64.10202828461217,1.2576230162714381,1.2576230162714381,2.0011694134131517,0.3429250064742197,0.3626466065648434,0.01972160009062368,0.01972160009062368,5.750995033401364,1.6764542772105453,1.6973022588751683,0.020847981664622983,0.020847981664622983,1.2435759178181687,1.1460653887927263,1.158042942591172,0.011977553798445673,0.011977553798445673,1.04510213078356,570.2327955867494,575.0021445931156,4.769349006366269,4.769349006366269,0.8363863045545772,327.28840925752615,304.81017329196,-22.47823596556617,22.47823596556617,-6.868020782208399,1.7422945006832276,1.8864270125339762,0.1441325118507486,0.1441325118507486,8.272568833468057
s1_sit,terma,TERMA,mid_upslope,median_mad,1.0,100.0,True,False,612,613,0.9841512286143937,0.008183306055646482,0.00038233094252750966,611,1,2,0.9967373572593801,0.9983660130718954,0.9975510204081632,314.29716253855,4.946618855333395,7.379484570821854,0.22394221802909067,7.382159199334437,608,828.437908496732,828.180734603276,-0.2571738934559562,0.2571738934559562,-0.03104323097944892,46.977980713169195,48.69543181648267,1.717451103313472,1.717451103313472,3.6558640393669033,30.45299025358163,33.38952003874383,2.936529785162204,2.936529785162204,9.642829031598412,9.00163666121113,11.735537190082644,2.733900528871514,2.733900528871514,30.371149511645363,30.477600635297417,33.412244248604246,2.9346436133068288,2.9346436133068288,9.62885382095365,21.550918083514233,23.626024482849285,2.075106399335052,2.075106399335052,9.628853820953653,62.844405268340736,64.68617415432166,1.841768885980926,1.841768885980926,2.9306807473421315,0.3429250064742197,0.36524071475435743,0.022315708280137736,0.022315708280137736,6.507460190662817,1.6764542772105453,1.719382499756863,0.042928222546317674,0.042928222546317674,2.5606557321531014,1.1460653887927263,1.178838098254712,0.03277270946198563,0.03277270946198563,2.8595846085630976,570.2327955867494,593.1850043369125,22.952208750163095,22.952208750163095,4.025059401668766,327.28840925752615,329.44410805204393,2.1556987945177752,2.1556987945177752,0.6586541819211106,1.7422945006832276,1.800563403134847,0.05826890245161942,0.05826890245161942,3.344377338548088
