record,detector,detector_label,best_s,median_s,best_s_per_min,median_s_per_min
s1_sit,msptdfast,MSPTDfast v2,0.1833967999991728,0.20765399999800138,0.0216588223251761,0.024523552706967166
s1_sit,msptd,MSPTD,0.29345179999654647,0.31201490000239573,0.03465611394068479,0.0368483816620026
s1_sit,qppg,qppg (slope-sum),0.026644400000805035,0.026789999988977797,0.0031466542795782755,0.0031638493684478515
s1_sit,terma,TERMA,0.0031279999966500327,0.00327879999531433,0.0003694110047770739,0.00038722020525233593
s1_sit,heartpy,HeartPy,0.17013669999141712,0.19509589999506716,0.0200928290794742,0.023040464361333148
s1_sit,findpeaks,find_peaks baseline,0.0011403999960748479,0.0011729999969247729,0.00013467912686986936,0.00013852912657658344
s1_sit,msptd_reference,MSPTD (NeuroKit2 reference loops),8.034101799989003,8.173655599995982,0.9488125388726747,0.9652935841208359
s2_sit,msptdfast,MSPTDfast v2,0.18344390000856947,0.19996770001307596,0.02235248937985705,0.024365900913837512
s2_sit,msptd,MSPTD,0.2640121000004001,0.30121869999857154,0.03216965874110299,0.03670325256068961
s2_sit,qppg,qppg (slope-sum),0.036068899993551895,0.03621449999627657,0.00439496600329219,0.004412707244698737
s2_sit,terma,TERMA,0.003935300002922304,0.003965800002333708,0.00047951309101999594,0.00048322949103600743
s2_sit,heartpy,HeartPy,0.21858390000124928,0.24230680000619031,0.02663426967676449,0.029524885665604045
s2_sit,findpeaks,find_peaks baseline,0.001211199996760115,0.0012315000058151782,0.00014758373030228123,0.00015005726982468074
s2_sit,msptd_reference,MSPTD (NeuroKit2 reference loops),7.914747200004058,7.97720809999737,0.9644054815890829,0.972016291235474
s3_sit,msptdfast,MSPTDfast v2,0.1798374999925727,0.1902193999994779,0.02191812682471666,0.023183445799025534
s3_sit,msptd,MSPTD,0.2631658000027528,0.2836849000013899,0.032073963331488584,0.034574777878608874
s3_sit,qppg,qppg (slope-sum),0.025640499996370636,0.02580580000358168,0.0031249974604451733,0.00314514379545499
s3_sit,terma,TERMA,0.0036445000005187467,0.003833499999018386,0.0004441821823999382,0.0004672170107152642
s3_sit,heartpy,HeartPy,0.12843149999389425,0.13629610001225956,0.01565289722817004,0.01661141422621171
s3_sit,findpeaks,find_peaks baseline,0.000978900003246963,0.0010104999964823946,0.00011930578672839982,0.00012315711172692896
s3_sit,msptd_reference,MSPTD (NeuroKit2 reference loops),7.9219906000071205,8.023841100002755,0.9655116128857464,0.9779248869590478
