record,detector,detector_label,detector_source,fiducial,correction,coverage_target,fs,sub_sample,failed,n_detected,n_ref,analysable_fraction,fraction_corrected,detect_s_per_min,tp,fp,fn,sensitivity,ppv,f1,lag_ms,ibi_mae,ibi_rmse,ibi_bias,ibi_sd,n_ibi,mean_nn_ref,mean_nn_test,mean_nn_err,mean_nn_abserr,mean_nn_pcterr,sdnn_ref,sdnn_test,sdnn_err,sdnn_abserr,sdnn_pcterr,rmssd_ref,rmssd_test,rmssd_err,rmssd_abserr,rmssd_pcterr,pnn50_ref,pnn50_test,pnn50_err,pnn50_abserr,pnn50_pcterr,sdsd_ref,sdsd_test,sdsd_err,sdsd_abserr,sdsd_pcterr,sd1_ref,sd1_test,sd1_err,sd1_abserr,sd1_pcterr,sd2_ref,sd2_test,sd2_err,sd2_abserr,sd2_pcterr,sd1_sd2_ref,sd1_sd2_test,sd1_sd2_err,sd1_sd2_abserr,sd1_sd2_pcterr,sampen_ref,sampen_test,sampen_err,sampen_abserr,sampen_pcterr,dfa_a1_ref,dfa_a1_test,dfa_a1_err,dfa_a1_abserr,dfa_a1_pcterr,lf_ref,lf_test,lf_err,lf_abserr,lf_pcterr,hf_ref,hf_test,hf_err,hf_abserr,hf_pcterr,lf_hf_ref,lf_hf_test,lf_hf_err,lf_hf_abserr,lf_hf_pcterr
s1_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),peak,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.1892573949127053,608,4,5,0.9918433931484503,0.9934640522875817,0.9926530612244898,590.8861760582552,40.66898112874508,53.08575029092961,0.16200718827010946,53.12935728594834,606,828.437908496732,828.3310896793952,-0.10681881733682985,0.10681881733682985,-0.012894004033526337,46.977980713169195,73.20128735470296,26.22330664153376,26.22330664153376,55.82042106416604,30.45299025358163,99.5588980076881,69.10590775410647,69.10590775410647,226.92650928090322,9.00163666121113,57.540983606557376,48.539346945346246,48.539346945346246,539.2280178837555,30.477600635297417,99.64049213536343,69.16289150006601,69.16289150006601,226.93023748058926,21.550918083514233,70.45646766968035,48.90554958616612,48.90554958616612,226.9302374805893,62.844405268340736,75.84683977782382,13.00243450948308,13.00243450948308,20.68988393471733,0.3429250064742197,0.9289308279167156,0.5860058214424959,0.5860058214424959,170.88454046192473,1.6764542772105453,1.9864542432916508,0.30999996608110547,0.30999996608110547,18.49140595691729,1.1460653887927266,0.6288568405626278,-0.5172085482300988,0.5172085482300988,-45.129060984463536,570.2327955867494,701.5667555475147,131.33395996076536,131.33395996076536,23.031639179157935,327.28840925752615,1371.3189010641418,1044.0304918066156,1044.0304918066156,318.9940316478249,1.7422945006832276,0.5116000042025963,-1.2306944964806312,1.2306944964806312,-70.63642202842424
s1_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),mid_upslope,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.1892573949127053,612,0,1,0.99836867862969,1.0,0.9991836734693879,314.2833363053641,4.915138760045764,6.958672536648322,0.01755308976177779,6.964351874070565,611,828.437908496732,828.387438523477,-0.0504699732549625,0.0504699732549625,-0.006092185393416432,46.977980713169195,47.81982431715919,0.841843603989993,0.841843603989993,1.7919961463009446,30.45299025358163,32.492268179563794,2.039277925982166,2.039277925982166,6.696478437753162,9.00163666121113,11.80327868852459,2.801642027313461,2.801642027313461,31.123695976154995,30.477600635297417,32.518469778362025,2.040869143064608,2.040869143064608,6.696292032585367,21.550918083514233,22.994030494089596,1.4431124105753632,1.4431124105753632,6.6962920325853705,62.844405268340736,63.59831567804933,0.7539104097085954,0.7539104097085954,1.1996460249555332,0.3429250064742197,0.36155093494128304,0.018625928467063346,0.018625928467063346,5.431487385118297,1.6764542772105453,1.7514783105883347,0.0750240333777894,0.0750240333777894,4.4751613209888434,1.1460653887927266,1.1301066286867387,-0.015958760105987846,0.015958760105987846,-1.3924825112115913,570.2327955867494,600.8345753179418,30.601779731192437,30.601779731192437,5.366541519188543,327.28840925752615,330.36001877787953,3.071609520353377,3.071609520353377,0.938502383057656,1.7422945006832276,1.818726665353286,0.07643216467005853,0.07643216467005853,4.386868272848605
s1_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),max_slope,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.1892573949127053,612,0,1,0.99836867862969,1.0,0.9991836734693879,284.95035289998305,6.7099468095630534,8.863985828877675,-0.018773212527465465,8.87122851938975,611,828.437908496732,828.3511122211878,-0.08679627554420222,0.08679627554420222,-0.01047710089724179,46.977980713169195,48.645179027114175,1.6671983139449793,1.6671983139449793,3.548893095521278,30.45299025358163,34.80960490049084,4.356614646909211,4.356614646909211,14.306032381817815,9.00163666121113,14.59016393442623,5.5885272732150995,5.5885272732150995,62.083457526080466,30.477600635297417,34.8377334985257,4.360132863228284,4.360132863228284,14.30602400563851,21.550918083514233,24.63399759797727,3.083079514463037,3.083079514463037,14.30602400563851,62.844405268340736,64.23295919933028,1.388553930989545,1.388553930989545,2.209510814941326,0.3429250064742197,0.38351023999271255,0.04058523351849286,0.04058523351849286,11.835017205589514,1.6764542772105453,1.81364466840799,0.1371903911974448,0.1371903911974448,8.183366111583794,1.1460653887927266,1.0959782710066746,-0.050087117786052016,0.050087117786052016,-4.370354281339404,570.2327955867494,601.9794608858138,31.746665299064375,31.746665299064375,5.567316637128557,327.28840925752615,377.27254784803506,49.984138590508906,49.984138590508906,15.272199435324028,1.7422945006832276,1.595608968422188,-0.14668553226103964,0.14668553226103964,-8.419100915690086
s1_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),foot,none,1.0,100.0,True,False,612,613,0.9841512286143937,0.0,0.1892573949127053,612,0,1,0.99836867862969,1.0,0.9991836734693879,212.68851292483444,7.063343820478031,10.817031183917527,-0.006004597227926436,10.825892304158781,611,828.437908496732,828.3638808364873,-0.07402766024472385,0.07402766024472385,-0.008935812748966675,46.977980713169195,49.24959759780906,2.2716168846398617,2.2716168846398617,4.835492820582359,30.45299025358163,37.861582607359196,7.408592353777568,7.408592353777568,24.327963500747618,9.00163666121113,17.21311475409836,8.21147809288723,8.21147809288723,91.22205663189268,30.477600635297417,37.89226168969561,7.4146610543981915,7.4146610543981915,24.328230896926165,21.550918083514233,26.793875195278993,5.24295711176476,5.24295711176476,24.328230896926172,62.844405268340736,64.2894546493595,1.4450493810187623,1.4450493810187623,2.299408157096107,0.3429250064742197,0.4167693650757377,0.073844358601518,0.073844358601518,21.53367564551448,1.6764542772105453,1.806085105244576,0.1296308280340308,0.1296308280340308,7.732440412852997,1.1460653887927266,1.0421837411898556,-0.103881647602871,0.103881647602871,-9.0641990080776,570.2327955867494,595.3143564170937,25.0815608303443,25.0815608303443,4.398477433157148,327.28840925752615,402.5686483076524,75.28023905012623,75.28023905012623,23.00119311310293,1.7422945006832276,1.478789664619239,-0.26350483606398845,0.26350483606398845,-15.124012384855547
s2_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),peak,none,1.0,100.0,True,False,990,991,0.9951016628351869,0.0,0.1991410079360118,990,0,1,0.9989909182643795,1.0,0.999495204442201,298.5893894358842,2.6535288155304393,3.2171024005838897,-0.0016730341888186921,3.21872964184033,989,496.8181818181818,496.81329157652914,-0.004890241652674376,0.004890241652674376,-0.000984312135030524,17.9894720567605,19.064521113177175,1.075049056416674,1.075049056416674,5.975990029194142,4.648624180821078,5.903083164580451,1.2544589837593731,1.2544589837593731,26.98559691994289,0.0,0.0,0.0,0.0,,4.650954564424282,5.906044541514156,1.2550899770898738,1.2550899770898738,26.985642618188745,3.2887215114949355,4.176204145294454,0.8874826337995185,0.8874826337995185,26.98564261818875,25.22749532913968,26.635901514429392,1.4084061852897136,1.4084061852897136,5.582822103084079,0.13036258528987663,0.1567885413239004,0.026425956034023784,0.026425956034023784,20.27111994999374,0.745467018693734,0.8728944959410568,0.12742747724732284,0.12742747724732284,17.093643857056385,1.6151323746822592,1.5481250808506788,-0.06700729383158044,0.06700729383158044,-4.148718388779905,99.94805062404777,120.14109704113554,20.19304641708777,20.19304641708777,20.20354203109317,19.90885704317436,37.305773439568355,17.396916396393994,17.396916396393994,87.38279831266571,5.020280692522949,3.220442466787404,-1.7998382257355447,1.7998382257355447,-35.85134648778042
s2_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),mid_upslope,none,1.0,100.0,True,False,990,991,0.9951016628351869,0.0,0.1991410079360118,990,0,1,0.9989909182643795,1.0,0.999495204442201,234.15886216055213,2.75903524815756,3.318860401887974,0.006369729660233134,3.3205334466736507,989,496.8181818181818,496.8213343403781,0.0031525221962738215,0.0031525221962738215,0.0006345424365784454,17.9894720567605,19.083251846662886,1.093779789902385,1.093779789902385,6.080110558282554,4.648624180821078,5.869396455291478,1.2207722744704004,1.2207722744704004,26.260937150113467,0.0,0.0,0.0,0.0,,4.650954564424282,5.8723502315567,1.221395667132418,1.221395667132418,26.261182521003803,3.2887215114949355,4.152378670236136,0.8636571587412001,0.8636571587412001,26.261182521003803,25.22749532913968,26.666434959800924,1.4389396306612454,1.4389396306612454,5.703854512259727,0.13036258528987663,0.15571555314745886,0.02535296785758223,0.02535296785758223,19.448040096172463,0.745467018693734,0.8497665325336436,0.10429951383990965,0.10429951383990965,13.99116409236608,1.6151323746822592,1.5412477230907986,-0.07388465159146063,0.07388465159146063,-4.5745260728858685,99.94805062404777,119.81888477651788,19.87083415247011,19.87083415247011,19.881162292212966,19.90885704317436,38.50340685075841,18.59454980758405,18.59454980758405,93.39837926034576,5.020280692522949,3.1119034541785693,-1.9083772383443796,1.9083772383443796,-38.01335732455473
s2_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),max_slope,none,1.0,100.0,True,False,990,991,0.9951016628351869,0.0,0.1991410079360118,990,0,1,0.9989909182643795,1.0,0.999495204442201,233.79724843251577,2.80638218132716,3.373999856469907,0.006674039522326615,3.3757003102010845,989,496.8181818181818,496.82163865024023,0.003456832058418513,0.003456832058418513,0.0006957941929113201,17.9894720567605,19.10388151202115,1.114409455260649,1.114409455260649,6.194786882819334,4.648624180821078,5.904628247891243,1.2560040670701653,1.2560040670701653,27.018834352152762,0.0,0.0,0.0,0.0,,4.650954564424282,5.907600104680076,1.2566455402557937,1.2566455402557937,27.01908872359297,3.2887215114949355,4.177304094557639,0.8885825830627039,0.8885825830627039,27.019088723592954,25.22749532913968,26.692072009349125,1.464576680209447,1.464576680209447,5.805477956100341,0.13036258528987663,0.15649980612574788,0.02613722083587125,0.02613722083587125,20.0496337026088,0.745467018693734,0.8562737451977263,0.11080672650399226,0.11080672650399226,14.8640682586007,1.6151323746822592,1.5378328916994295,-0.07729948298282974,0.07729948298282974,-4.785953411282259,99.94805062404777,120.038037011829,20.089986387781238,20.089986387781238,20.1004284349169,19.90885704317436,38.97178101107359,19.062923967899227,19.062923967899227,95.75097117106903,5.020280692522949,3.080127053411312,-1.940153639111637,1.940153639111637,-38.64631796387883
s2_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),foot,none,1.0,100.0,True,False,990,991,0.9951016628351869,0.0,0.1991410079360118,990,0,1,0.9989909182643795,1.0,0.999495204442201,170.24648681287312,2.7940749539708403,3.399477176835905,0.01352112200428852,3.401170221674245,989,496.8181818181818,496.8284857327222,0.010303914540372716,0.010303914540372716,0.002073980968784993,17.9894720567605,19.037814125184553,1.048342068424052,1.048342068424052,5.827531042135735,4.648624180821078,6.03801692637419,1.3893927455531117,1.3893927455531117,29.88825707368122,0.0,0.0,0.0,0.0,,4.650954564424282,6.041062834062188,1.3901082696379063,1.3901082696379063,29.888665872399912,3.2887215114949355,4.271676495539396,0.9829549840444609,0.9829549840444609,29.888665872399898,25.22749532913968,26.58250389349373,1.3550085643540513,1.3550085643540513,5.371157725630072,0.13036258528987663,0.1606950388366132,0.030332453546736582,0.030332453546736582,23.26776005499491,0.745467018693734,0.8907951073152754,0.14532808862154145,0.14532808862154145,19.494905204015165,1.6151323746822592,1.5351276641876153,-0.08000471049464397,0.08000471049464397,-4.953446030105309,99.94805062404777,118.26415983648857,18.316109212440807,18.316109212440807,18.325629262481986,19.90885704317436,37.437030405249246,17.528173362074885,17.528173362074885,88.04208761991347,5.020280692522949,3.1590155136852447,-1.8612651788377041,1.8612651788377041,-37.074922555820734
s3_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),peak,none,1.0,100.0,True,False,603,603,0.9953320956006322,0.0,0.1899195893541789,524,79,79,0.8689883913764511,0.8689883913764511,0.8689883913764511,379.84915797239796,4.363941883210677,5.488115938576568,0.014740603904540803,5.49378623857398,483,815.7774086378738,815.9488667031343,0.1714580652604809,0.1714580652604809,0.021017751097909074,61.9273119712334,102.83033071447171,40.90301874323831,40.90301874323831,66.0500471298329,38.473190094833306,141.05995758781626,102.58676749298294,102.58676749298294,266.6448174433023,19.30116472545757,36.7720465890183,17.47088186356073,17.47088186356073,90.51724137931033,38.504571690160056,141.17740319639597,102.67283150623592,102.67283150623592,266.6510157090625,27.22684374879574,99.82749915047897,72.60065540168323,72.60065540168323,266.65101570906245,83.23871043837475,105.74792784284885,22.5092174044741,22.5092174044741,27.041766127718493,0.3270935314279401,0.9440137616581179,0.6169202302301777,0.6169202302301777,188.6066739189208,1.4540556028720704,1.1841519203592248,-0.2699036825128456,0.2699036825128456,-18.562129397234063,1.0772869742520945,0.5396791890408491,-0.5376077852112454,0.5376077852112454,-49.903860165438196,901.0824037873131,1143.1909477384943,242.10854395118122,242.10854395118122,26.868635202905068,679.6120627362407,3167.5963290502136,2487.984266313973,2487.984266313973,366.08889140326613,1.3258775898700104,0.360901715049428,-0.9649758748205823,0.9649758748205823,-72.78016328152805
s3_sit,msptdfast,MSPTDfast v2,NeuroKit2 (author-contributed; Charlton 2025),mid_upslope,none,1.0,100.0,True,False,603,603,0.9953320956006322,0.0,0.1899195893541789,602,1,1,0.9983416252072969,0.9983416252072969,0.9983416252072969,289.24661553110786,4.919892123916876,6.0847888640892185,0.01622562954778323,6.089835758861297,601,815.7774086378738,815.9541181953628,0.17670955748894812,0.17670955748894812,0.02166149192388215,61.9273119712334,64.10188358198448,2.17457161075108,2.17457161075108,3.5114903933844515,38.473190094833306,42.187044715340946,3.7138546205076395,3.7138546205076395,9.653097680107336,19.30116472545757,24.126455906821963,4.825291181364392,4.825291181364392,24.999999999999996,38.504571690160056,42.22119837485794,3.7166266846978857,3.7166266846978857,9.652429624733832,27.22684374879574,29.854895680684493,2.628051931888752,2.628051931888752,9.652429624733834,83.23871043837475,85.59665975616122,2.3579493177864634,2.3579493177864634,2.832755703888705,0.3270935314279401,0.3487857559597768,0.021692224531836668,0.021692224531836668,6.631810918772493,1.4540556028720704,1.5080329362718567,0.05397733339978639,0.05397733339978639,3.712191837311422,1.0772869742520945,1.0422754342906166,-0.03501153996147788,0.03501153996147788,-3.249973386690636,901.0824037873131,943.9306667292743,42.84826294196125,42.84826294196125,4.755199165122632,679.6120627362407,836.5816727899504,156.96961005370974,156.96961005370974,23.096942897352616,1.3258775898700104,1.128318605858674,-0.1975589840113363,0.1975589840113363,-14.90024309338429
