detector_label,n,f1_pct,ibi_mae_ms,ibi_rmse_ms,rmssd_mae_ms,sdnn_mae_ms,pnn50_mae,lfhf_mae,corrected_pct,cost_s_per_min
MSPTD,22,99.90213643827157,4.935195309406705,6.923269926653878,1.861615671758404,1.060979118842667,1.2798870968950378,0.34752352388798124,0.0,0.0321696587411029
find_peaks baseline,22,99.8849372767838,4.940772246996408,6.960672422781412,2.290725762002431,1.424601355524981,1.2746872751746396,0.2504526612088078,0.0,0.0001346791268698
TERMA,22,99.87660245912144,4.940772246996408,7.048646977641045,3.2958938404058795,1.8714312670109123,1.2383796774095552,0.47216926065208925,0.0,0.0004441821823999
MSPTDfast v2,22,99.91602178779813,4.959207376685761,7.1537048598142565,1.5678360738403896,0.9525092871006748,1.3014315894523212,0.24984144880811193,0.073746312684365,0.0219181268247166
qppg (slope-sum),22,99.20552972201848,4.793331444605981,7.256956791623017,13.979781091495973,4.272855863892655,1.2401791836320566,0.6542204653208408,0.56135905259347,0.0031466542795782
HeartPy,22,99.82305422168868,5.170634784605433,7.279091467292595,4.521106324144309,2.4777253456524733,1.2383796774095552,0.44425592051492657,0.17050310772075,0.0200928290794742
