floor_rmse,floor_mae,n_intervals,n_detectors,record,coverage_target
7.378863158147593,4.951905072178974,610,6,s1_sit,1.0
3.317402804214585,2.7574598599511764,990,6,s2_sit,1.0
6.078585859064133,4.911160534157624,601,6,s3_sit,1.0
7.4489901044693205,5.16814658404004,680,6,s4_sit,1.0
4.497640727796028,3.511927737053329,637,6,s5_sit,1.0
7.177724176131043,5.488784848193561,642,6,s6_sit,1.0
6.027028881724241,4.635344562102109,542,6,s7_sit,1.0
4.752830393814657,3.3001223589017004,697,6,s8_sit,1.0
21.2856372089547,14.218641659342316,518,6,s9_sit,1.0
3.303799220715647,2.5076636715162413,602,6,s10_sit,1.0
7.174546367171554,4.938927839478168,586,6,s11_sit,1.0
3.9938651698520107,3.0880872656662772,587,6,s12_sit,1.0
10.801280480765397,6.034669355993034,600,6,s13_sit,1.0
22.00693664712265,12.659633173934134,441,6,s14_sit,1.0
14.484909954724525,9.711853742560349,670,6,s15_sit,1.0
14.229360831369,9.219407625629636,509,6,s16_sit,1.0
4.4537916416021055,3.3857771818711613,621,6,s17_sit,1.0
5.64087804224684,3.2427929128609425,613,6,s18_sit,1.0
5.0159426326793914,3.616095551440088,673,6,s19_sit,1.0
11.681821648054063,8.431257550567217,636,6,s20_sit,1.0
6.041678698219644,4.893082338709681,631,6,s21_sit,1.0
6.00144118357106,4.5496886750531855,655,6,s22_sit,1.0
