record,gyro_rms_median,gyro_rms_p90,f1,ibi_rmse,rmssd_abserr,sdnn_abserr
s1_sit,0.0017013634590106216,0.002475713167078669,0.9991836734693879,6.958672536648322,2.039277925982166,0.841843603989993
s2_sit,0.007040013004853714,0.017108912909642338,0.999495204442201,3.318860401887974,1.2207722744704004,1.093779789902385
s3_sit,0.003921844456358102,0.007732457243526912,0.9983416252072969,6.0847888640892185,3.7138546205076395,2.17457161075108
s4_sit,0.011845918448495663,0.021063394336545197,0.9985294117647059,7.385192105144843,18.785442621367576,5.343619321849921
s5_sit,0.020543166818931168,0.03969379457182595,0.9992156862745099,4.497123597609184,1.4050554824937649,1.0257546431718225
s6_sit,0.007885526919223845,0.011722959180714278,0.9992217898832686,7.180552179467543,3.227985352233837,3.256971951612094
s7_sit,0.007324648721058868,0.013286186501641744,0.9990800367985281,6.029418282906084,0.8766121512885192,0.6205026968694511
s8_sit,0.01654796281684673,0.04490535199187438,0.9992831541218639,4.7545417741171345,0.08943544203400933,0.02951575866609346
s9_sit,0.027223779792834753,0.043443564527952415,0.9674502712477396,24.155571775385948,66.75966574630434,23.302596647782636
s10_sit,0.004941190787173467,0.007377015531922015,0.9991714995857498,3.3051621136646254,0.03609890699609508,0.29815847678614915
s11_sit,0.010704052940780716,0.0193885689523993,0.9974511469838572,7.1747487801709635,6.379507553281712,2.781261892282515
s12_sit,0.00479629329545439,0.012264838952138929,0.9974554707379135,3.99746735643223,5.569787137562024,1.296959496569805
s13_sit,0.004676316863740233,0.006734494777668515,0.9975144987572493,10.78660126491045,2.7746266709307577,1.5256028463627729
s14_sit,0.015502455082600994,0.023264837285630467,0.9966178128523112,22.009836580046283,35.94890125652384,4.69467160234133
s15_sit,0.009301813299245197,0.014907575458030585,0.9933969185619957,14.177863157476855,51.45414863708223,14.144984342891135
s16_sit,0.029892473204220817,0.044283376267697995,0.985645933014354,14.119368938762545,48.26728184322913,22.382018186588944
s17_sit,0.008733724933109456,0.012823372791972317,0.9991967871485944,4.4537916416021055,0.0014943268214366867,0.8370166570364006
s18_sit,0.004458371462176214,0.006015486617402331,0.9991876523151909,5.663274973392046,1.137374286641922,0.6915925360715391
s19_sit,0.018004182601406394,0.046593017058230414,0.995575221238938,4.989774901746915,45.34572210676975,15.608020732977906
s20_sit,0.00995405453478921,0.016639484240906607,0.9898832684824904,11.553638220570281,72.96985438934766,27.395722022002687
s21_sit,0.008493402933488759,0.01395534071527238,0.9960536700868193,6.014179335231455,11.927205502667139,4.257401389013545
s22_sit,0.008521467092774623,0.012685743928344883,0.9992383853769992,6.001400945984988,1.0107990407754741,0.25476509718454565
